Time,CPI rate,ULC_rate,Imports_growth_rate,House_price_index,Share_price_index,Energy_price_index,GDP_gap
1961-01-01,"1,48","1,46","7,1",,"3,29","11,01","28,55"
1961-04-01,"0,90","2,37","2,9",,"3,27","10,96","-21,85"
1961-07-01,"1,24","2,17","-1,1",,"3,21","11,11","-38,82"
1961-10-01,"0,67","2,80","-3,3",,"3,12","11,16","-113,50"
1962-01-01,"0,89","2,61","-7,3",,"3,39","11,20","-124,81"
1962-04-01,"1,34","0,04","-6,8",,"3,60","10,96","-101,89"
1962-07-01,"1,22","-0,15","2,3",,"3,68","11,09","-72,03"
1962-10-01,"1,33","-1,39","10,0",,"3,75","11,09","-39,90"
1963-01-01,"1,22","-0,97","13,9",,"3,70","11,11","-13,68"
1963-04-01,"1,1","0,76","14,9",,"3,31","11,11","-18,09"
1963-07-01,"1,21","0,20","9,2",,"3,09","11,07","-11,65"
1963-10-01,"1,43","0,26","7,9",,"3,23","11,24","-37,58"
1964-01-01,"1,53","0,23","2,3",,"3,52","11,22","-36,54"
1964-04-01,"1,31","-0,29","2,5",,"3,73","11,07","-34,83"
1964-07-01,"1,19","-0,02","3,8",,"3,74","11,14","6,15"
1964-10-01,"1,08","0,82","2,2",,"3,91","11,17","-9,79"
1965-01-01,"1,08","0,13","4,5",,"4,14","11,12","29,16"
1965-04-01,"1,72","0,59","4,4",,"4,28","11,07","29,59"
1965-07-01,"1,72","1,87","4,6",,"4,41","11,11","48,40"
1965-10-01,"1,82","1,93","7,7",,"4,53","11,12","18,50"
1966-01-01,"2,35","1,31","4,0",,"4,62","11,20","71,06"
1966-04-01,"2,75","1,52","13,7",,"4,65","11,32","79,63"
1966-07-01,"3,27","0,09","11,1",,"4,61","11,35","126,68"
1966-10-01,"3,68","-0,75","13,5",,"4,89","11,37","178,63"
1967-01-01,"3,02","0,68","20,8",,"4,93","11,42","237,65"
1967-04-01,"2,68","1,89","10,7",,"4,72","11,43","206,27"
1967-07-01,"2,66","4,17","16,4",,"4,36","11,52","196,58"
1967-10-01,"2,74","4,68","12,3",,"4,27","11,57","186,17"
1968-01-01,"3,85","3,18","11,2",,"4,72","11,66","178,23"
1968-04-01,"4,02","2,34","7,6",,"5,00","11,76","132,93"
1968-07-01,"4,48","1,99","3,2",,"5,19","11,78","127,41"
1968-10-01,"4,73","2,69","7,5",,"5,20","11,80","112,35"
1969-01-01,"4,78","4,47","12,0",,"5,06","11,86","156,33"
